,Item_Outlet_Sales,Item_Identifier,Outlet_Identifier
233,1774.3665,,
234,1156.1658,,
235,1854.024,,
236,2423.2454,,
237,1996.4937,,
238,-102.20155,,
239,3819.4954,,
240,162.00272,,
241,5032.35,,
242,-52.173214,,
243,1483.5251,,
244,145.70511,,
245,2404.626,,
246,535.42926,,
247,544.19495,,
248,181.19302,,
249,4186.4897,,
250,4335.713,,
251,134.68971,,
252,267.43118,,
253,1906.8488,,
254,6004.913,,
255,1569.4479,,
256,5516.5957,,
257,4365.1953,,
258,1174.2646,,
259,837.85956,,
260,3638.1418,,
261,2171.876,,
262,3186.1235,,
263,4065.9893,,
264,3421.943,,
265,3372.6904,,
266,2145.4333,,
267,3315.565,,
268,2139.2175,,
269,3491.9324,,
270,4323.6274,,
271,1432.665,,
272,4366.8604,,
273,1989.3746,,
274,644.8799,,
275,1245.9862,,
276,2239.2146,,
277,627.29846,,
278,1950.4122,,
279,1458.1656,,
280,2401.2073,,
281,1744.0156,,
282,2588.7556,,
283,2790.1848,,
284,6466.3857,,
285,4359.07,,
286,273.34964,,
287,1643.1992,,
288,702.579,,
289,1116.0087,,
290,669.94293,,
291,2162.7356,,
292,1584.4856,,
293,2105.0378,,
294,3849.9822,,
295,3173.1545,,
296,2154.4888,,
297,2391.5642,,
298,423.1759,,
299,538.7229,,
300,401.01913,,
301,3306.822,,
302,3329.745,,
303,1825.4872,,
304,1662.9774,,
305,2402.751,,
306,4853.5327,,
307,1605.6439,,
308,2746.4448,,
309,4550.5283,,
310,1336.3187,,
311,3670.354,,
312,2143.321,,
313,3329.9282,,
314,1585.97,,
315,981.952,,
316,3129.7112,,
317,3327.0513,,
318,3539.368,,
319,1780.6917,,
320,1528.1232,,
321,1487.4692,,
322,3116.8127,,
323,2404.8223,,
324,3449.0476,,
325,3320.7747,,
326,120.37992,,
327,2183.039,,
328,912.67145,,
329,369.4836,,
330,444.75742,,
331,2946.3694,,
332,3434.1934,,
333,130.39478,,
334,1753.7864,,
335,2111.5242,,
336,1031.5151,,
337,1314.3917,,
338,3358.8787,,
339,3908.993,,
340,2719.3745,,
341,525.28284,,
342,2440.9795,,
343,3987.5703,,
344,1737.1523,,
345,3146.8716,,
346,2808.846,,
347,5484.1846,,
348,2531.0989,,
349,1651.3064,,
350,3181.364,,
351,791.991,,
352,283.55927,,
353,631.05316,,
354,4730.5317,,
355,3733.708,,
356,2339.109,,
357,823.08716,,
358,2195.7004,,
359,2717.5735,,
360,719.9419,,
361,1935.7307,,
362,1539.2478,,
363,883.21185,,
364,387.10202,,
365,1838.7406,,
366,1587.4297,,
367,1774.4249,,
368,2126.0242,,
369,3238.6877,,
370,4506.169,,
371,117.564995,,
372,420.29724,,
373,4101.7754,,
374,6207.538,,
375,1408.009,,
376,3796.0435,,
377,663.9343,,
378,2890.608,,
379,4363.3154,,
380,1802.6536,,
381,4269.2207,,
382,1520.2334,,
383,71.23228,,
384,1646.2963,,
385,285.9055,,
386,773.2024,,
387,2958.5498,,
388,2154.0068,,
389,1612.5632,,
390,3242.733,,
391,4215.5996,,
392,2064.3801,,
393,227.93883,,
394,1660.6926,,
395,2544.0166,,
396,1308.939,,
397,2321.9302,,
398,2852.1836,,
399,1217.5592,,
400,2187.7083,,
401,827.3902,,
402,2966.789,,
403,282.8394,,
404,2376.3489,,
405,3402.5889,,
406,700.1526,,
407,3254.9817,,
408,1317.6704,,
409,365.69992,,
410,2979.1108,,
411,2550.4941,,
412,1066.1952,,
413,2281.9724,,
414,1697.1846,,
415,400.08484,,
416,3182.7866,,
417,748.55835,,
418,-315.73514,,
419,5719.4775,,
420,1625.4296,,
421,1110.6659,,
422,1151.2195,,
423,2093.7522,,
424,1984.1383,,
425,3332.8628,,
426,4412.3154,,
427,1441.6753,,
428,4085.8826,,
429,874.36017,,
430,1422.9808,,
431,3091.9927,,
432,685.15533,,
433,1698.6769,,
434,2439.3806,,
435,4861.0254,,
436,197.4045,,
437,1303.0098,,
438,3276.4263,,
439,1640.4996,,
440,1820.0681,,
441,2194.7278,,
442,740.7596,,
443,1593.843,,
444,2459.9583,,
445,2209.0479,,
446,2724.1821,,
447,3775.4673,,
448,4954.1377,,
449,2817.915,,
450,402.73898,,
451,393.46548,,
452,2938.202,,
453,1865.5336,,
454,2717.8706,,
455,1415.605,,
456,1774.6854,,
457,1618.8218,,
458,3101.8477,,
459,1780.7771,,
460,2036.8516,,
461,1572.7631,,
462,1091.6495,,
463,2422.8562,,
464,4205.441,,
465,429.08252,,
466,1345.261,,
467,640.4377,,
468,4638.3823,,
469,1574.8131,,
470,4796.172,,
471,1654.6512,,
472,2366.9302,,
473,80.47667,,
474,90.83414,,
475,860.5035,,
476,2907.1404,,
477,2982.2356,,
478,235.89029,,
479,507.86346,,
480,3467.2744,,
481,1127.994,,
482,2820.2527,,
483,4589.331,,
484,3164.898,,
485,2389.83,,
486,3872.0295,,
487,2416.6091,,
488,2877.9648,,
489,1655.4146,,
490,2648.2554,,
491,3513.8635,,
492,2204.7083,,
493,1305.1167,,
494,436.46158,,
495,3029.3677,,
496,1801.6255,,
497,4171.84,,
498,3832.1594,,
499,2976.8174,,
500,2252.9902,,
501,1207.2809,,
502,1332.116,,
503,4707.1885,,
504,816.1352,,
505,2685.3467,,
506,363.35803,,
507,1790.4048,,
508,3181.26,,
509,3859.5613,,
510,3601.0266,,
511,2810.0903,,
512,212.43524,,
513,1626.5558,,
514,2147.531,,
515,2212.713,,
516,279.45447,,
517,3162.925,,
518,2177.6255,,
519,688.05444,,
520,2068.7927,,
521,593.7791,,
522,559.5059,,
523,2081.5051,,
524,4410.775,,
525,5596.0684,,
526,2830.6213,,
527,1909.5005,,
528,545.65125,,
529,3351.4673,,
530,1392.1719,,
531,3560.9492,,
532,983.7332,,
533,1993.073,,
534,652.83124,,
535,3100.9058,,
536,2026.559,,
537,4736.7617,,
538,2063.1802,,
539,4624.846,,
540,2888.556,,
541,613.5412,,
542,1413.5914,,
543,238.95644,,
544,3829.3196,,
545,7790.0347,,
546,1864.2693,,
547,363.8782,,
548,4447.8564,,
549,5144.9614,,
550,1012.6803,,
551,1653.2855,,
552,524.5263,,
553,3377.4177,,
554,1671.3292,,
555,1173.2045,,
556,3332.7334,,
557,287.71902,,
558,3204.5227,,
559,3345.548,,
560,2590.623,,
561,895.2368,,
562,2626.0583,,
563,2759.2708,,
564,3471.2493,,
565,3441.5142,,
566,4617.593,,
567,2392.7163,,
568,1756.883,,
569,3569.4514,,
570,1257.129,,
571,2837.4893,,
572,1614.6715,,
573,1383.6614,,
574,2717.3037,,
575,161.29878,,
576,258.92365,,
577,934.57623,,
578,389.84393,,
579,1957.9049,,
580,3063.04,,
581,360.13202,,
582,3886.9158,,
583,2829.9492,,
584,1553.8046,,
585,3406.5725,,
586,3160.428,,
587,815.74664,,
588,3517.635,,
589,2458.7268,,
590,3929.1023,,
591,1135.6656,,
592,1930.2515,,
593,3560.378,,
594,3239.5532,,
595,725.149,,
596,2272.0269,,
597,1713.2982,,
598,2823.4326,,
599,2294.226,,
600,3178.3555,,
601,2726.1304,,
602,2584.3813,,
603,2026.6141,,
604,2280.73,,
605,5368.2095,,
606,2105.9048,,
607,1610.5466,,
608,806.2738,,
609,562.0234,,
610,399.67627,,
611,1764.4226,,
612,2480.8435,,
613,3848.4253,,
614,2175.9316,,
615,528.04364,,
616,1490.6832,,
617,888.9449,,
618,1011.07184,,
619,221.16415,,
620,157.00082,,
621,203.72525,,
622,1895.1741,,
623,2492.977,,
624,3005.7427,,
625,2779.1357,,
626,435.4908,,
627,2918.2263,,
628,1658.6226,,
629,1090.5739,,
630,1861.9017,,
631,1871.9486,,
632,1654.5907,,
633,1058.539,,
634,1604.2538,,
635,257.8684,,
636,2099.2966,,
637,468.21262,,
638,1182.7772,,
639,3837.2285,,
640,548.24927,,
641,1850.7845,,
642,5535.7163,,
643,2564.4407,,
644,2051.9482,,
645,2197.1504,,
646,2322.2546,,
647,2503.0393,,
648,1149.1777,,
649,583.1525,,
650,1855.6392,,
651,3869.3328,,
652,1647.8915,,
653,3154.5637,,
654,2603.9243,,
655,3710.0283,,
656,728.7579,,
657,293.83603,,
658,4559.0938,,
659,4519.9375,,
660,2874.9873,,
661,3599.026,,
662,2903.817,,
663,3720.9778,,
664,512.7676,,
665,1385.598,,
666,3074.4326,,
667,1233.3634,,
668,2094.7876,,
669,3171.0735,,
670,475.7368,,
671,3294.9287,,
672,4278.089,,
673,1417.002,,
674,97.77291,,
675,1512.1411,,
676,2011.0308,,
677,462.51898,,
678,1903.5042,,
679,3021.1404,,
680,1518.9701,,
681,7086.015,,
682,1756.1631,,
683,342.3108,,
684,2721.534,,
685,3244.704,,
686,1806.8335,,
687,3326.7078,,
688,3681.7336,,
689,-55.628716,,
690,6469.5312,,
691,1537.1759,,
692,1814.0989,,
693,2524.653,,
694,304.44998,,
695,1787.3668,,
696,5370.3936,,
697,590.9227,,
698,3046.8074,,
699,2750.6904,,
700,5552.3584,,
701,2091.1895,,
702,1573.8401,,
703,613.5543,,
704,1685.619,,
705,3355.7024,,
706,570.71967,,
707,4661.2197,,
708,3436.8022,,
709,3034.0251,,
710,2072.6123,,
711,2928.7976,,
712,3738.3535,,
713,718.2283,,
714,1729.6482,,
715,2660.1467,,
716,2219.2732,,
717,352.526,,
718,2825.9126,,
719,559.36444,,
720,1524.567,,
721,341.39606,,
722,330.26785,,
723,2697.5015,,
724,2913.5415,,
725,3060.236,,
726,974.06946,,
727,1441.6443,,
728,5519.284,,
729,2724.347,,
730,1649.402,,
731,2302.6929,,
732,3650.997,,
733,318.5622,,
734,2267.9863,,
735,2229.2512,,
736,3370.6536,,
737,861.82074,,
738,4285.5454,,
739,2025.1733,,
740,1646.2113,,
741,2353.0774,,
742,3999.6921,,
743,2123.8875,,
744,3797.0088,,
745,1885.2484,,
746,3551.4087,,
747,3381.6565,,
748,5749.5713,,
749,855.8537,,
750,5397.197,,
751,2852.601,,
752,2765.9966,,
753,872.68536,,
754,2023.6194,,
755,3018.118,,
756,2377.5952,,
757,1733.5834,,
758,1890.8624,,
759,1259.8032,,
760,4616.088,,
761,2031.5651,,
762,3029.595,,
763,1370.0714,,
764,3357.9426,,
765,2145.9565,,
766,4434.2754,,
767,2191.0881,,
768,1775.7659,,
769,2984.7642,,
770,1560.4534,,
771,3446.7559,,
772,2855.1226,,
773,2.3270237,,
774,816.47473,,
775,3632.93,,
776,2743.8604,,
777,2565.919,,
778,2333.663,,
779,3620.679,,
780,1297.9999,,
781,2117.7026,,
782,1197.2351,,
783,676.4079,,
784,2869.1338,,
785,40.67981,,
786,1469.2378,,
787,3424.2124,,
788,548.0774,,
789,1902.8567,,
790,2218.0757,,
791,2400.3013,,
792,534.0184,,
793,2984.423,,
794,1828.1299,,
795,932.40533,,
796,4053.6375,,
797,710.5071,,
798,2737.3057,,
799,536.33527,,
800,1379.2026,,
801,3762.4097,,
802,1967.7861,,
803,299.8652,,
804,1368.6229,,
805,3436.4668,,
806,3033.807,,
807,3483.082,,
808,3213.1458,,
809,2518.3943,,
810,2002.944,,
811,2450.4438,,
812,1150.3182,,
813,1440.5236,,
814,2030.6215,,
815,1861.2498,,
816,3008.628,,
817,3986.4685,,
818,2361.609,,
819,3446.268,,
820,13.116903,,
821,4577.891,,
822,570.822,,
823,1626.215,,
824,219.66985,,
825,1539.5765,,
826,1668.413,,
827,3271.3616,,
828,704.0452,,
829,698.8102,,
830,1077.4509,,
831,274.73248,,
832,3471.617,,
833,1510.1434,,
834,1942.2452,,
835,2624.306,,
836,2966.819,,
837,2774.9204,,
838,2361.8042,,
839,665.1576,,
840,4155.2896,,
841,519.9448,,
842,331.5042,,
843,613.6139,,
844,2569.5327,,
845,-67.739395,,
846,1480.4185,,
847,847.64325,,
848,1727.6879,,
849,2468.4944,,
850,3147.3525,,
851,3801.9575,,
852,5299.885,,
853,1877.4637,,
854,860.659,,
855,3312.5583,,
856,1550.2566,,
857,3651.739,,
858,460.0996,,
859,5201.913,,
860,2032.5354,,
861,5974.1807,,
862,2098.5757,,
863,1538.7294,,
864,1795.2267,,
865,179.88742,,
866,6660.4185,,
867,2623.8274,,
868,2342.7505,,
869,5062.783,,
870,2259.9233,,
871,272.8734,,
872,1020.64923,,
873,2908.8413,,
874,1823.3223,,
875,102.97259,,
876,1167.933,,
877,1326.0784,,
878,640.4111,,
879,650.604,,
880,1759.6477,,
881,4495.6694,,
882,3189.8457,,
883,1157.6836,,
884,4970.0366,,
885,3588.7644,,
886,3036.3464,,
887,336.67804,,
888,443.732,,
889,2584.962,,
890,996.96545,,
891,1755.288,,
892,1645.584,,
893,2815.6536,,
894,1579.8428,,
895,4160.674,,
896,3635.3083,,
897,1744.9673,,
898,1427.8684,,
899,1405.8958,,
900,457.25906,,
901,2074.3066,,
902,2156.1587,,
903,258.09518,,
904,2777.0188,,
905,2189.2822,,
906,2193.0432,,
907,1406.7625,,
908,2932.1448,,
909,697.68036,,
910,3060.546,,
911,42.901333,,
912,3516.9438,,
913,1886.6447,,
914,1846.3126,,
915,3510.589,,
916,1737.7302,,
917,2176.9124,,
918,7065.47,,
919,1423.7516,,
920,2620.485,,
921,1814.345,,
922,2427.2007,,
923,2328.7131,,
924,835.51776,,
925,1692.811,,
926,2239.4114,,
927,3349.0725,,
928,2072.0156,,
929,1624.511,,
930,117.16025,,
931,4734.9214,,
932,3631.0134,,
933,2479.272,,
934,4954.158,,
935,1743.724,,
936,254.90738,,
937,2166.372,,
938,388.49078,,
939,5750.301,,
940,5613.728,,
941,1930.8569,,
942,2372.5537,,
943,-153.7959,,
944,1298.2559,,
945,247.86537,,
946,530.5994,,
947,789.9654,,
948,2277.4895,,
949,994.5476,,
950,2872.668,,
951,3989.5024,,
952,1232.1807,,
953,2160.1973,,
954,923.1993,,
955,1384.7865,,
956,1338.7184,,
957,2795.2773,,
958,944.8933,,
959,2534.1213,,
960,1682.4994,,
961,4376.399,,
962,2638.7717,,
963,364.75668,,
964,1469.6094,,
965,1805.2579,,
966,2106.8235,,
967,4614.129,,
968,2731.3723,,
969,282.84125,,
970,5497.972,,
971,1868.688,,
972,5350.4487,,
973,2611.8008,,
974,433.0508,,
975,2884.5352,,
976,852.747,,
977,1943.18,,
978,2994.7776,,
979,1300.4934,,
980,1831.046,,
981,1216.1707,,
982,2866.548,,
983,4637.4707,,
984,3445.015,,
985,1820.598,,
986,3645.6284,,
987,848.5167,,
988,1101.0256,,
989,3537.236,,
990,1422.4581,,
991,1111.5325,,
992,3417.9177,,
993,4220.343,,
994,7633.2227,,
995,4349.623,,
996,1791.4066,,
997,1430.7192,,
998,2272.7837,,
999,1388.1919,,
1000,3062.7568,,
1001,2679.855,,
1002,3107.8237,,
1003,3981.2349,,
1004,1712.3805,,
1005,2384.5847,,
1006,3041.3936,,
1007,1944.7004,,
1008,2845.7776,,
1009,4568.8438,,
1010,1902.4381,,
1011,175.69542,,
1012,1614.1262,,
1013,1280.7145,,
1014,1077.2211,,
1015,1888.278,,
1016,1350.8524,,
1017,3432.64,,
1018,2396.6738,,
1019,3352.0876,,
1020,6009.8574,,
1021,2554.7998,,
1022,3544.602,,
1023,142.43982,,
1024,601.9702,,
1025,681.18005,,
1026,5720.6357,,
1027,2858.0845,,
1028,2773.2798,,
1029,3173.4797,,
1030,1144.872,,
1031,1914.1777,,
1032,4223.2163,,
1033,1219.034,,
1034,1777.2843,,
1035,4221.4272,,
1036,4777.155,,
1037,1603.5099,,
1038,4247.539,,
1039,1889.4421,,
1040,3145.7854,,
1041,2868.6218,,
1042,730.3132,,
1043,5406.955,,
1044,2391.4333,,
1045,2053.5696,,
1046,350.1453,,
1047,1021.3081,,
1048,2660.516,,
1049,2339.6548,,
1050,1126.2826,,
1051,2487.6611,,
1052,533.5698,,
1053,5140.967,,
1054,1297.4852,,
1055,2245.093,,
1056,2589.9595,,
1057,2334.716,,
1058,3333.367,,
1059,1886.21,,
1060,1646.2823,,
1061,2592.8135,,
1062,3274.6313,,
1063,565.6643,,
1064,107.115524,,
1065,7379.4106,,
1066,692.0719,,
1067,4243.7876,,
1068,5420.925,,
1069,212.31238,,
1070,215.98863,,
1071,1684.6881,,
1072,1270.2891,,
1073,1601.0293,,
1074,4664.718,,
1075,4339.2847,,
1076,775.88574,,
1077,1938.9149,,
1078,1472.9398,,
1079,1095.2421,,
1080,1720.9019,,
1081,1402.5688,,
1082,528.75476,,
1083,3800.338,,
1084,1083.5182,,
1085,1574.1874,,
1086,1782.1863,,
1087,1297.4999,,
1088,3043.942,,
1089,908.9531,,
1090,3805.6843,,
1091,1693.4874,,
1092,4202.603,,
1093,3694.667,,
1094,960.6119,,
1095,2617.2852,,
1096,742.48883,,
1097,848.1202,,
1098,4693.3633,,
1099,1257.1539,,
1100,2088.602,,
1101,1726.6962,,
1102,1672.3604,,
1103,582.1249,,
1104,705.60675,,
1105,2017.492,,
1106,1220.7533,,
1107,2762.032,,
1108,251.48984,,
1109,3055.834,,
1110,1814.5004,,
1111,3000.9888,,
1112,714.8494,,
1113,3477.9004,,
1114,1710.4329,,
1115,3034.1995,,
1116,2676.3137,,
1117,1766.6046,,
1118,2897.0664,,
1119,3912.582,,
1120,4435.63,,
1121,3746.5476,,
1122,3697.9343,,
1123,3694.5671,,
1124,3493.239,,
1125,2746.6917,,
1126,427.69955,,
1127,836.09045,,
1128,1598.1904,,
1129,1937.1945,,
1130,3680.1772,,
1131,1101.9474,,
1132,1314.014,,
1133,4443.787,,
1134,177.51405,,
1135,2113.8914,,
1136,2600.584,,
1137,5615.615,,
1138,1015.36163,,
1139,3542.4543,,
1140,1723.6031,,
1141,1821.2556,,
1142,676.23145,,
1143,2305.1445,,
1144,2159.3425,,
1145,104.76717,,
1146,2540.1902,,
1147,203.8905,,
1148,1473.4071,,
1149,656.9028,,
1150,3841.098,,
1151,627.83844,,
1152,4153.505,,
1153,560.612,,
1154,3240.157,,
1155,3141.9634,,
1156,4923.971,,
1157,3507.8586,,
1158,1376.8624,,
1159,2017.3177,,
1160,792.6194,,
1161,4247.1953,,
1162,4576.183,,
1163,1969.2292,,
1164,647.99976,,
1165,2398.5178,,
1166,3242.0447,,
1167,1676.5012,,
1168,1959.0281,,
1169,1966.7035,,
1170,2437.539,,
1171,3753.8232,,
1172,2816.4583,,
1173,2083.2192,,
1174,1274.9722,,
1175,2592.1208,,
1176,972.01685,,
1177,788.45557,,
1178,2794.6409,,
1179,3112.2676,,
1180,1875.6432,,
1181,2090.6387,,
1182,2293.7166,,
1183,2775.9348,,
1184,3011.3154,,
1185,562.3761,,
1186,2244.1929,,
1187,2347.4963,,
1188,3038.9275,,
1189,1131.6504,,
1190,1153.2428,,
1191,709.4661,,
1192,3409.8252,,
1193,3223.3252,,
1194,5405.4526,,
1195,202.17915,,
1196,235.86008,,
1197,892.4025,,
1198,958.80865,,
1199,1789.1635,,
1200,1073.9625,,
1201,2594.6477,,
1202,2735.7197,,
1203,2424.4001,,
1204,2392.2173,,
1205,1423.8252,,
1206,2243.191,,
1207,4977.641,,
1208,721.3189,,
1209,1472.7175,,
1210,4135.359,,
1211,3097.0144,,
1212,661.1665,,
1213,2691.9038,,
1214,2648.379,,
1215,1182.3036,,
1216,3467.6987,,
1217,1093.4087,,
1218,1878.5436,,
1219,1848.4707,,
1220,1145.9188,,
1221,5262.2075,,
1222,2564.3184,,
1223,1679.3127,,
1224,363.9443,,
1225,2663.3044,,
1226,1994.6156,,
1227,1251.529,,
1228,1538.8705,,
1229,960.227,,
1230,837.3269,,
1231,1584.454,,
1232,3457.89,,
1233,342.94058,,
1234,511.0027,,
1235,3171.6685,,
1236,3121.3413,,
1237,2234.9744,,
1238,245.48921,,
1239,3235.4766,,
1240,2303.8203,,
1241,3532.9268,,
1242,2824.7856,,
1243,3473.2368,,
1244,4159.3174,,
1245,2552.1865,,
1246,2247.8225,,
1247,847.13794,,
1248,4761.035,,
1249,2352.1843,,
1250,400.99902,,
1251,3568.246,,
1252,1682.3398,,
1253,1466.0317,,
1254,1760.4442,,
1255,3902.0073,,
1256,157.27701,,
1257,2110.9434,,
1258,5404.722,,
1259,326.01797,,
1260,2496.9146,,
1261,2927.4875,,
1262,2580.2415,,
1263,1402.475,,
1264,377.69336,,
1265,2089.2837,,
1266,4272.926,,
1267,1911.9585,,
1268,6132.0215,,
1269,484.0494,,
1270,314.04456,,
1271,1494.6056,,
1272,1237.662,,
1273,502.65094,,
1274,2841.5786,,
1275,5680.2974,,
1276,2895.4988,,
1277,3785.7634,,
1278,1850.3228,,
1279,882.47363,,
1280,2116.7866,,
1281,2995.9265,,
1282,3526.8047,,
1283,1415.5125,,
1284,5624.363,,
1285,882.75555,,
1286,2786.1675,,
1287,81.34458,,
1288,958.5545,,
1289,1690.3535,,
1290,3275.656,,
1291,1848.3352,,
1292,1592.6743,,
1293,2761.956,,
1294,118.43696,,
1295,1397.1763,,
1296,2188.9756,,
1297,1279.4583,,
1298,463.6872,,
1299,2716.1838,,
1300,975.2341,,
1301,529.4878,,
1302,4164.988,,
1303,1191.7428,,
1304,1475.8032,,
1305,800.5951,,
1306,813.589,,
1307,753.2829,,
1308,5829.257,,
1309,1717.5817,,
1310,740.4123,,
1311,3608.2534,,
1312,2674.7708,,
1313,301.3908,,
1314,3083.016,,
1315,3983.213,,
1316,1329.0543,,
1317,725.96045,,
1318,2812.5657,,
1319,2311.4834,,
1320,3205.6565,,
1321,1245.5483,,
1322,1446.0067,,
1323,6109.519,,
1324,3100.1274,,
1325,2453.3718,,
1326,673.46826,,
1327,3191.1938,,
1328,3199.381,,
1329,432.3812,,
1330,3800.7502,,
1331,2825.256,,
1332,299.06085,,
1333,3828.885,,
1334,1418.871,,
1335,695.2028,,
1336,1700.2231,,
1337,2790.0266,,
1338,3174.0413,,
1339,282.37802,,
1340,531.50494,,
1341,1418.8531,,
1342,355.54004,,
1343,2004.7031,,
1344,2536.5854,,
1345,122.06738,,
1346,1699.8795,,
1347,2246.535,,
1348,741.4852,,
1349,2699.198,,
1350,6230.0967,,
1351,2980.7537,,
1352,3331.6655,,
1353,1408.0404,,
1354,1273.0491,,
1355,3185.0068,,
1356,1174.0153,,
1357,2630.398,,
1358,3238.1794,,
1359,2781.7744,,
1360,5269.68,,
1361,791.3603,,
1362,1011.6856,,
1363,292.99228,,
1364,2486.6084,,
1365,2413.9968,,
1366,3827.8213,,
1367,4840.431,,
1368,476.32657,,
1369,738.9825,,
1370,2780.3977,,
1371,3199.3328,,
1372,2384.5107,,
1373,2647.7144,,
1374,3686.9368,,
1375,4766.683,,
1376,865.47797,,
1377,13.419356,,
1378,2228.0461,,
1379,1995.7942,,
1380,1107.6292,,
1381,2640.541,,
1382,1630.9476,,
1383,4534.3477,,
1384,3225.2134,,
1385,191.39249,,
1386,1406.3845,,
1387,2614.4666,,
1388,4470.8716,,
1389,2591.1907,,
1390,2639.9324,,
1391,701.09106,,
1392,3095.681,,
1393,2744.5842,,
1394,621.693,,
1395,2304.2559,,
1396,2601.6091,,
1397,2536.828,,
1398,1822.9341,,
1399,768.1493,,
1400,342.16208,,
1401,309.24045,,
1402,1682.6094,,
1403,2217.3584,,
1404,1802.5042,,
1405,1975.0131,,
1406,2032.3444,,
1407,2048.823,,
1408,985.26416,,
1409,1438.2208,,
